Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
HICHAM,SSTV-JZL1-0000000000000013640253,Samsung 2016 Jazz-L UHD TV Smart TV,2021-12-30T06:54:39.100,2023-04-24T21:20:29.353,2021-12-30T06:54:39.100,2023-04-24T21:20:29.353,2021-12-30T06:54:39.100,2021-12-30T06:54:39.100,2021-12-30T06:54:39.100,2021-12-30T06:54:39.100,
HICHAM,NFANDROID1-PRV-P-SAMSUSM-A515F-16994-0AA5459B002FBB9C2892266AF1F5B7A92D58B725C05DD3113D52F1D9CE554A2C9,DefaultWidevineAndroidPhone,2020-12-24T21:58:43.192,2020-12-24T21:58:43.192,2020-12-24T21:58:43.192,2020-12-24T21:58:43.192,2020-12-24T21:58:43.192,2020-12-24T21:58:43.192,2020-12-24T21:58:43.192,2020-12-24T21:58:43.192,
HICHAM,NFCDCH-02-G7DNLUXMQC6A56ELEH1EX9GD8HW970,Chrome PC (Cadmium),2020-04-25T20:56:44.897,2020-04-25T20:56:44.897,2020-04-25T20:56:44.897,2020-04-25T20:56:44.897,2020-04-25T20:56:44.897,2020-04-25T20:56:44.897,2020-04-25T20:56:44.897,2020-04-25T20:56:44.897,
HICHAM,NFCDCH-02-HJXE2UTNPXU8PWKQCNHPW0TPTEY8J6,Chrome PC (Cadmium),,,,,,,,,
HICHAM,NFCDCH-02-H4QX9M49DAMLG4U1G5DGTJ5FQADKR2,Chrome PC (Cadmium),,,,,,,,,
HICHAM,NFCDCH-02-G7G4C1V5WQVPM31CN21PTPQK9QW6QW,Chrome PC (Cadmium),,,,,,,,,
HICHAM,NFCDCH-02-H1C4243FJ500X6P1R161XCRYPCK0HE,Chrome PC (Cadmium),,,,,,,,,
HICHAM,NFCDCH-02-GHPCAGK8CTP0PDLQVRMY7JR68KDAM0,Chrome PC (Cadmium),,,,,,,,,
HICHAM,NFCDCH-02-GLEJNGVQUJFN4T7M37AR03U5YYJQ6F,Chrome PC (Cadmium),,,,,,,,,
HICHAM,NFCDCH-02-GHDAQDL6APTQWGYH48AXUA89UCT36T,Chrome PC (Cadmium),,,,,,,,,
HICHAM,NFCDCH-02-G7DHZRUXPA3YL3E4GNXQKRJ9XFTJWV,Chrome PC (Cadmium),,,,,,,,,
