Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
HICHAM,www,playback,/watch/81647020?trackId=155573560,/watch/81953796?trackId=155573560,2024-10-20 22:14:25
HICHAM,www,playback,/watch/81647018?trackId=155573560,/watch/81647019?trackId=155573560,2024-10-20 00:33:34
HICHAM,www,playback,/watch/81647019?trackId=155573560,/watch/81647020?trackId=155573560,2024-10-20 00:33:34
HICHAM,www,playback,/watch/81647017?trackId=155573558,/watch/81647018?trackId=155573560,2024-10-19 23:51:33
HICHAM,www,playback,/watch/81647018?trackId=155573560,/watch/81647019?trackId=155573560,2024-10-19 23:51:33
HICHAM,www,playback,/watch/81647016?trackId=14186196,/watch/81647017?trackId=155573558,2024-10-19 23:12:23
HICHAM,www,playback,/watch/81647017?trackId=155573558,/watch/81647018?trackId=155573560,2024-10-19 23:12:23
HICHAM,www,playback,/watch/80236318?trackId=14186196&tctx=1%2C0%2C35722aa4-1b10-4773-9a59-1661b1e43dbe-104550853%2CNES_DC4E0FB57071175540631B492DD90F-7B6D3370C92CCE-D68BBD0D4D_p_1729374202291%2CNES_DC4E0FB57071175540631B492DD90F_p_1729374202291%2C%2C%2C%2C80236318%2CVideo%3A80236318%2CminiDpPlayButton,/watch/81647016?trackId=14186196,2024-10-19 22:30:36
HICHAM,www,playback,/watch/81647016?trackId=14186196,/watch/81647017?trackId=155573558,2024-10-19 22:30:36
HICHAM,www,browseTitles,https://www.netflix.com/browse,/browse,2024-10-19 21:43:40
HICHAM,www,playback,/browse,/watch/80236318?trackId=14186196&tctx=1%2C0%2C35722aa4-1b10-4773-9a59-1661b1e43dbe-104550853%2CNES_DC4E0FB57071175540631B492DD90F-7B6D3370C92CCE-D68BBD0D4D_p_1729374202291%2CNES_DC4E0FB57071175540631B492DD90F_p_1729374202291%2C%2C%2C%2C80236318%2CVideo%3A80236318%2CminiDpPlayButton,2024-10-19 21:43:40
